Temperature,HeatIndex,WindSpeed,CloudCover,RelativeHumidity,Maximum Temperature,Minimum Temperature,Wind Direction,AQI
26.6,37.7,15.1,89.1,88.3,31,24,254.55,0
26.8,37,13.9,76,83.86,32.1,24,217.83,1
27.1,36.8,9.2,77.4,83.07,32,25,227,0
27.5,37,16.1,66.1,80.88,33,25,241.38,0
28.8,39.3,17.2,78.6,76.2,34,24.2,240.89,0
28.5,37.9,15.4,69.9,75.47,32.9,25,311.38,0
27.8,39.1,10.3,65.9,84.04,31,25.4,236.11,0
27.4,39.1,13.9,78.2,88.72,31,25,266.57,0
27.2,36.1,15,79.5,83.87,30,23,217.25,0
27.1,37.7,12.2,68.2,83.98,31,25,239.96,1
27.1,36.5,12.8,74.5,88.01,31,25,220.32,0
27.3,39.2,16.1,64.9,84.45,32,24,206.41,0
28.2,38.1,17.2,82.2,79.02,33,25,262.05,0
27.8,37.5,15.2,80.8,81.89,30.9,25,246.13,0
28.8,40.6,16.1,55.2,79.29,33,26,248.46,0
28.3,39.3,16.1,72.7,80.27,34,24,238.39,0
27.9,37.7,19.7,83.3,83.11,32,25,246.86,0
28.7,40.6,18.3,58.3,82.02,33,26,248.21,0
28.5,39.2,17.2,61.3,83.71,32,27,241.87,0
28.8,40.6,18.3,50.2,80.84,33,26,244.95,1
29,39.2,20.8,52.3,78.1,32,27,242.48,0
28.7,39.2,18.3,65.2,78.42,33,27,242.04,0
29.2,39.2,19.7,66.8,77.68,33,27,238.42,0
28.2,39,18.9,83.9,83.52,32,26,240.35,0
29.1,37.9,20.8,79,76.79,32,27,235.67,0
28.6,39,12.8,61.7,81.08,32,26.9,237.04,1
29.7,41.9,11.6,60.5,77.52,34,26,263.25,0
28.7,41.9,20.8,72.1,80.26,34,25,237.41,0
28.6,40.6,10.3,81.1,83.08,34,25,208.14,0
28,39.1,10,82.5,84.63,31,26,238.11,0
29.2,40.6,11.4,62.2,80.94,34,26,242.57,0
28.6,40.6,23,74.5,81.73,35,23,229.5,0
28.8,43.2,16.1,67.3,80.67,34,25,232,0
28.3,42.1,8.1,75.9,82.68,33,25,227.28,0
28.5,39.4,18.3,60.2,81.4,33,25.2,227.62,0
27.7,39.2,9.2,63.5,85.41,33,25.1,177.06,0
28.6,39.3,9.7,62.5,78.81,34,25,229.1,0
29.5,41.9,10.3,37.1,75.07,34,25,236.14,0
29.2,40.7,21.9,57.7,78.22,34,26.9,261.42,0
28.8,40.6,21.9,54.9,77.35,34,26,259.91,0
29.2,40.7,25.3,49.7,75.14,34,26,275.95,0
29,39.4,13.9,57,78.31,33,26,262.64,0
29.3,39.2,12.8,57.4,76.41,33,26,236.38,0
27.7,39.1,15,71.6,81.81,32,26,246.86,0
28.7,37.9,13.9,65.2,77.21,32,26,210.73,0
29,38.1,12,55.1,73.66,33,25,252.46,0
28,37.9,15,69.9,80.81,32.4,25,252.42,0
26.7,36.5,16.1,82.6,89.34,31,25,266.05,0
25.9,34.5,15,82.3,91.38,29,24,251.88,0
27,36.5,18.3,68.2,81.09,31,24,243.79,0
27.6,37,16.1,80,78.85,32,25,242.29,0
27.8,38,15,76.1,77.91,32,25,253.39,0
27.4,39.2,16.1,82.5,82.9,32,25,251.12,0
27.8,38.9,11,78.9,79.91,32,24,251.37,0
27.6,37.9,11.4,62.6,83.04,32,25,273.61,0
28.7,39.3,7.7,72.3,77.06,34,25,266.41,0
